Case,Threads,Time
0,1,0.016000
0,1,0.016000
0,1,0.015000
0,1,0.017000
0,1,0.020000
0,1,0.016000
0,1,0.016000
0,1,0.016000
0,1,0.023000
0,1,0.019000
0,1,0.017000
0,1,0.018000
0,1,0.016000
0,1,0.016000
0,1,0.016000
0,1,0.016000
0,1,0.016000
0,1,0.018000
0,1,0.017000
0,1,0.016000
0,1,0.015000
0,1,0.015000
0,1,0.017000
0,1,0.017000
0,1,0.016000
0,1,0.017000
0,1,0.018000
0,1,0.016000
0,1,0.017000
0,1,0.017000
0,1,0.017000
0,1,0.016000
0,1,0.018000
0,1,0.016000
0,1,0.017000
0,1,0.016000
0,1,0.018000
0,1,0.016000
0,1,0.016000
0,1,0.017000
0,1,0.016000
0,1,0.016000
0,1,0.016000
0,1,0.016000
0,1,0.016000
0,1,0.016000
0,1,0.017000
0,1,0.015000
0,1,0.017000
0,1,0.017000
0,1,0.016000
0,1,0.018000
0,1,0.017000
0,1,0.016000
0,1,0.017000
0,1,0.017000
0,1,0.017000
0,1,0.018000
0,1,0.016000
0,1,0.015000
0,1,0.018000
0,1,0.017000
0,1,0.018000
0,1,0.020000
0,1,0.017000
0,1,0.016000
0,1,0.016000
0,1,0.017000
0,1,0.018000
0,1,0.016000
0,1,0.017000
0,1,0.016000
0,1,0.017000
0,1,0.018000
0,1,0.020000
0,1,0.021000
0,1,0.017000
0,1,0.017000
0,1,0.016000
0,1,0.017000
0,1,0.016000
0,1,0.017000
0,1,0.017000
0,1,0.016000
0,1,0.018000
0,1,0.017000
0,1,0.016000
0,1,0.017000
0,1,0.017000
0,1,0.017000
0,1,0.017000
0,1,0.017000
0,1,0.019000
0,1,0.018000
0,1,0.018000
0,1,0.017000
0,1,0.018000
0,1,0.016000
0,1,0.017000
0,1,0.018000
0,2,0.021000
0,2,0.022000
0,2,0.021000
0,2,0.021000
0,2,0.022000
0,2,0.022000
0,2,0.021000
0,2,0.020000
0,2,0.022000
0,2,0.022000
0,2,0.021000
0,2,0.022000
0,2,0.021000
0,2,0.022000
0,2,0.022000
0,2,0.021000
0,2,0.022000
0,2,0.021000
0,2,0.022000
0,2,0.021000
0,2,0.020000
0,2,0.021000
0,2,0.020000
0,2,0.021000
0,2,0.020000
0,2,0.022000
0,2,0.021000
0,2,0.022000
0,2,0.020000
0,2,0.020000
0,2,0.023000
0,2,0.023000
0,2,0.023000
0,2,0.024000
0,2,0.022000
0,2,0.023000
0,2,0.023000
0,2,0.023000
0,2,0.023000
0,2,0.023000
0,2,0.021000
0,2,0.021000
0,2,0.019000
0,2,0.022000
0,2,0.023000
0,2,0.022000
0,2,0.023000
0,2,0.022000
0,2,0.020000
0,2,0.023000
0,2,0.022000
0,2,0.021000
0,2,0.022000
0,2,0.021000
0,2,0.020000
0,2,0.021000
0,2,0.021000
0,2,0.022000
0,2,0.020000
0,2,0.022000
0,2,0.020000
0,2,0.021000
0,2,0.021000
0,2,0.022000
0,2,0.022000
0,2,0.022000
0,2,0.020000
0,2,0.021000
0,2,0.021000
0,2,0.022000
0,2,0.022000
0,2,0.021000
0,2,0.021000
0,2,0.021000
0,2,0.021000
0,2,0.020000
0,2,0.022000
0,2,0.022000
0,2,0.021000
0,2,0.022000
0,2,0.021000
0,2,0.022000
0,2,0.022000
0,2,0.020000
0,2,0.019000
0,2,0.021000
0,2,0.021000
0,2,0.021000
0,2,0.022000
0,2,0.022000
0,2,0.021000
0,2,0.020000
0,2,0.021000
0,2,0.023000
0,2,0.021000
0,2,0.021000
0,2,0.025000
0,2,0.022000
0,2,0.021000
0,2,0.021000
0,4,0.023000
0,4,0.023000
0,4,0.023000
0,4,0.022000
0,4,0.022000
0,4,0.023000
0,4,0.022000
0,4,0.021000
0,4,0.022000
0,4,0.023000
0,4,0.023000
0,4,0.023000
0,4,0.022000
0,4,0.023000
0,4,0.021000
0,4,0.024000
0,4,0.022000
0,4,0.022000
0,4,0.022000
0,4,0.022000
0,4,0.022000
0,4,0.021000
0,4,0.021000
0,4,0.022000
0,4,0.022000
0,4,0.022000
0,4,0.022000
0,4,0.023000
0,4,0.023000
0,4,0.023000
0,4,0.022000
0,4,0.022000
0,4,0.022000
0,4,0.023000
0,4,0.022000
0,4,0.022000
0,4,0.023000
0,4,0.023000
0,4,0.021000
0,4,0.022000
0,4,0.022000
0,4,0.023000
0,4,0.022000
0,4,0.022000
0,4,0.021000
0,4,0.022000
0,4,0.022000
0,4,0.022000
0,4,0.022000
0,4,0.022000
0,4,0.021000
0,4,0.022000
0,4,0.023000
0,4,0.026000
0,4,0.022000
0,4,0.022000
0,4,0.021000
0,4,0.022000
0,4,0.021000
0,4,0.021000
0,4,0.023000
0,4,0.022000
0,4,0.021000
0,4,0.023000
0,4,0.022000
0,4,0.023000
0,4,0.023000
0,4,0.021000
0,4,0.022000
0,4,0.023000
0,4,0.022000
0,4,0.022000
0,4,0.022000
0,4,0.023000
0,4,0.022000
0,4,0.021000
0,4,0.022000
0,4,0.022000
0,4,0.026000
0,4,0.023000
0,4,0.023000
0,4,0.022000
0,4,0.023000
0,4,0.021000
0,4,0.021000
0,4,0.022000
0,4,0.023000
0,4,0.023000
0,4,0.023000
0,4,0.022000
0,4,0.022000
0,4,0.023000
0,4,0.022000
0,4,0.022000
0,4,0.023000
0,4,0.023000
0,4,0.022000
0,4,0.020000
0,4,0.021000
0,4,0.024000
0,8,0.022000
0,8,0.024000
0,8,0.027000
0,8,0.023000
0,8,0.023000
0,8,0.025000
0,8,0.023000
0,8,0.024000
0,8,0.023000
0,8,0.022000
0,8,0.023000
0,8,0.023000
0,8,0.024000
0,8,0.023000
0,8,0.023000
0,8,0.023000
0,8,0.027000
0,8,0.023000
0,8,0.021000
0,8,0.024000
0,8,0.023000
0,8,0.022000
0,8,0.023000
0,8,0.022000
0,8,0.022000
0,8,0.023000
0,8,0.023000
0,8,0.022000
0,8,0.022000
0,8,0.023000
0,8,0.022000
0,8,0.022000
0,8,0.023000
0,8,0.022000
0,8,0.022000
0,8,0.024000
0,8,0.022000
0,8,0.023000
0,8,0.023000
0,8,0.022000
0,8,0.023000
0,8,0.022000
0,8,0.023000
0,8,0.022000
0,8,0.023000
0,8,0.023000
0,8,0.022000
0,8,0.023000
0,8,0.022000
0,8,0.023000
0,8,0.022000
